Filename,Word Count
Toward Better Signals.txt,730
Elite-Only Financial Markets.txt,1050
Sacred Money.txt,522
Losing My Religion.txt,874
Thinkers Must Be Heretics.txt,1204
‘Long Reflection’ Is Crazy Bad Idea.txt,1263
Sincerity Adds To Drift.txt,1233
Sacred Inquiry.txt,1107
Robots-Took-Most-Jobs Insurance.txt,825
Gender And Status.txt,734
World Value Drift.txt,549
A Stuff Fetish.txt,959
My Status Circles.txt,1049
Cycles of War & Empire.txt,1241
Statement of Commitment to Academic Freedom and to Intellectual Merit.txt,696
Beware System Decay.txt,352
Kaczynski’s Collapse Theory.txt,1458
Allow Covert Eye-Rolls.txt,950
Join me at Interintellect.txt,71
Why We Don’t Know What We Want.txt,704
Be A Dad.txt,430
Stamina Succeeds.txt,448
Specific vs. General Foragers & Farmers.txt,1573
What is ‘Elite Overproduction’_.txt,941
Humans Are Early.txt,449
Futarchy Details.txt,1441
Objectification As Emotional Labor.txt,432
Medical Doubts OpEd.txt,963
Rational Culture.txt,809
"Even When Contrarians Win, They Lose.txt",1023
Abstract_Distant Future Bias.txt,828
When Lawyers Sing.txt,757
The Good and Bad Of Academia.txt,346
No Recent Automation Revolution.txt,521
"To Oppose Polarization, Tug Sideways.txt",1139
Honing Fertility Fall Theories.txt,1116
Evidence Order Bias.txt,905
Comparing Income & Sex Redistribution.txt,2198
Sacred Distance Hides Motives.txt,1034
Culture Drift Predicts Decadence.txt,803
Four Uses For Personal Tax Assets.txt,724
Status Leadership.txt,577
Agency Failure AI Apocalypse_.txt,1363
Only Physics Computes.txt,663
Caplan's Build Baby Build.txt,75
Require Legal Liability Insurance.txt,827
Are We A Tower of Babel_.txt,1021
Who Can Words Hurt_.txt,662
Why Allow Line Cutting_.txt,690
Why Not For-Profit Government_.txt,1403
UFOs_ What the _Further_ Hell_.txt,915
"We Add Near, Average Far.txt",1080
What Is Signaling_.txt,758
Sacred Talk.txt,656
Unequal Inequality.txt,377
Types of Partiality.txt,300
Why Do Algorithms Gain Like Chips_.txt,849
Against Disclaimers.txt,668
The Poor Wore Color.txt,464
Land Speculators Made U.S..txt,1151
Why Not Limit City Citizenship_.txt,419
Betrayed By Culture.txt,714
Spaceship Earth Explores Culture Space.txt,1042
Preferred Unfair Evaluations.txt,563
Automatic Norms.txt,1005
Egan’s Zendegi.txt,1216
Romantic Decay As Cultural Drift.txt,869
Clean Politician Bonds.txt,504
Most AI Fear Is Future Fear.txt,767
Excess Turbulence_.txt,549
Why The Line.txt,944
What Do I Want_.txt,496
What Culture Can You Trust_.txt,936
The ‘What If Failure_’ Taboo.txt,502
"After Eating It, Software Will Bite The World.txt",1040
Liu Cixin’s Trilogy.txt,671
A Fertility Reckoning.txt,523
Which Of Your Origins Are You_.txt,1077
Prediction Market Quotes.txt,182
Why Not For-Profit Govt_.txt,778
Status Explains Lots.txt,1343
Stasis is Illiberal.txt,1057
Beware Upward Reference Classes.txt,845
Futarchy and the Transfer Problem.txt,928
My Market Board Game.txt,781
Futarchy As Meta Governance.txt,775
LLMs For On-Brand Org Text.txt,330
Academia’s Function.txt,796
The Price of Nations.txt,508
Read The Case Against Education.txt,367
I Still Don’t Get Foom.txt,1850
Paternalism Is About Bias.txt,386
On Evolved Values.txt,1031
The Return of _Commune-ism_.txt,1406
Values Are Facts.txt,1301
Fixing Academia Via Prediction Markets.txt,2011
You Don’t Want To Know Your Limit.txt,460
Explaining All The Weird UFO ‘Aliens’.txt,1269
Is Nothing Sacred_.txt,732
My Culture Posts.txt,337
Turn The Ship Or Leave on Lifeboats.txt,590
Decision Selection Bias.txt,665
My Videos.txt,537
Mutual Admiration Societies.txt,1319
Who Owes Who What_.txt,799
"Nature, Culture, Or Law_.txt",703
What Cost Variety_.txt,837
What If Culture Is Unstable_.txt,258
Praise Polymaths.txt,533
Three Types of General Thinkers.txt,712
Explaining Christmas.txt,876
Why We Can’t See Grabby Aliens.txt,726
How Weird Inside Black Holes_.txt,902
"Forager, Farmer Morals.txt",458
Debating Yudkowsky.txt,1155
This is the Dream Time.txt,1583
Fertility Fall From Selection Neglect.txt,1156
What Will Be Fifth Meta-Innovation_.txt,955
"To See Into Crevices, Add Light.txt",670
My Complaint Re Academia.txt,326
The Master and His Emissary.txt,2508
Near-Far Summary.txt,498
Rational Culture Choice.txt,797
Foom Update.txt,637
Choke To Submit_.txt,444
Bad Raisins in Good Pudding.txt,676
Our Big Oops.txt,1110
Hiding Motives From Yourself.txt,892
Better Babblers.txt,917
How Far To Grabby Aliens_ Part 2..txt,1375
The Betterness Explosion.txt,774
If I Had A Million.txt,270
Marginal Charity.txt,627
Who Should Be Our “Adults”_.txt,1607
Who Cares About The Future_.txt,469
Religion Can Divert Sacred Energy.txt,522
Polymaths Are Late Bloomers.txt,412
Earth_ A Status Report.txt,1808
Love And War And Status.txt,884
Minds Almost Meeting.txt,594
HFT as Crazy Huge Market Failure.txt,616
Drift Poll Winner_ Rational Culture.txt,452
Truly Sacred Things.txt,442
Concepts of Culture.txt,753
What Things Really Feel_.txt,925
"How Fast Are Private, Govt Solutions_.txt",436
Our Alien Stalkers.txt,1005
Respect The Social Wild.txt,755
MacAskill on Value Lock-In.txt,1676
Stupider Than You Realize.txt,406
Moral Progress Is Not Like STEM Progress.txt,1202
Sex At Dusk v. Dawn.txt,886
Quantity Enables Quality.txt,315
What Priority The Innocent_.txt,566
‘The Profit’ Socialism Challenge.txt,707
Kipping on Grabby Aliens.txt,1051
Don't Enslave Digital Minds.txt,619
Escalating Signals Cut Fertility.txt,2087
We Agree_ Get Froze.txt,605
Fighters Vs. Fight Analysts.txt,544
Prediction Markets Need Trial & Error.txt,709
Why First Impressions Matter Too Much.txt,612
Experts Versus Elites.txt,894
Fear Change.txt,778
How Every Empire Falls.txt,387
When They Hear Less Than You Say.txt,508
Hail Richerson & Boyd .txt,596
Beware the Inside View.txt,707
Floppy vs Stiff Concepts.txt,496
Libertarianism As Deep Multiculturalism.txt,654
Reenacting Trauma .txt,222
Cultural Drift Of Digital Minds.txt,608
Fillers Neglect Framers.txt,335
Why Not Heterodox Research_.txt,1188
Songs Regulate Emotion.txt,439
Futarchy For Fundraising.txt,1017
Hating On Personal Equity.txt,821
How Far Might We Fall_.txt,598
Shrinking Economies Don’t Innovate.txt,757
Do Men Hurt More_.txt,395
Buy Health Update.txt,560
Against Free Thinkers.txt,330
Why Tenure.txt,501
Don’t Be “Rationalist”.txt,698
Fossil Future.txt,561
UFOs – What The Hell_.txt,1321
Choice At Different Abstraction Levels.txt,936
Open Talk Friday on Cultural Drift.txt,31
Politics and Culture.txt,235
Control Variables Avoid Bias.txt,307
"Forager v Farmer, Elaborated.txt",1614
Modernism Tests Cultural Drift.txt,753
Lying With Style.txt,1022
History of Social Darwinism.txt,1053
Systems Explain STEM vs Culture Style.txt,1283
Fertile Factions.txt,1151
Deathbed Regret Is Far.txt,512
On Culture Talk.txt,683
Can Kids Consent_.txt,770
Spirit Vs. Letter of Law.txt,797
Status App Concept.txt,1418
Beware RightTalkism.txt,1185
Fertility_ The Big Problem.txt,1708
"To Cut Inequality, Face Hard Choices.txt",913
History Vs. Future.txt,115
